livraison_id,date_commande,entrepot,transporteur,distance_km,proba_a_l_heure,a_l_heure,date_livraison_prevue,retard_jours_(nombre),date_livraison_reelle,cout_km_(€),cout_transport_(€)
1,2025-05-10,Entrepot_C,Transporteur_Z,450,0.86,True,2025-05-12,0,2025-05-12,1.05,472.0
2,2025-02-05,Entrepot_B,Transporteur_Z,564,0.86,True,2025-02-08,0,2025-02-08,1.05,592.0
3,2025-07-05,Entrepot_B,Transporteur_Y,615,0.92,True,2025-07-08,0,2025-07-08,1.2,738.0
4,2025-06-18,Entrepot_A,Transporteur_X,391,0.77,True,2025-06-20,0,2025-06-20,1.4,547.0
5,2025-07-21,Entrepot_A,Transporteur_X,643,0.77,True,2025-07-24,0,2025-07-24,1.4,900.0
6,2025-08-21,Entrepot_A,Transporteur_Z,794,0.86,True,2025-08-25,0,2025-08-25,1.05,834.0
7,2025-07-30,Entrepot_B,Transporteur_X,769,0.77,True,2025-08-03,0,2025-08-03,1.4,1077.0
8,2025-03-10,Entrepot_A,Transporteur_Y,734,0.92,True,2025-03-13,0,2025-03-13,1.2,881.0
9,2025-07-17,Entrepot_A,Transporteur_Z,251,0.86,True,2025-07-19,0,2025-07-19,1.05,264.0
10,2025-09-12,Entrepot_C,Transporteur_Y,562,0.92,True,2025-09-15,0,2025-09-15,1.2,674.0
11,2025-10-19,Entrepot_B,Transporteur_Z,50,0.86,True,2025-10-20,0,2025-10-20,1.05,52.0
12,2025-02-25,Entrepot_C,Transporteur_X,714,0.77,False,2025-02-28,2,2025-03-02,1.4,1000.0
13,2025-06-26,Entrepot_B,Transporteur_Z,524,0.86,False,2025-06-29,4,2025-07-03,1.05,550.0
14,2025-08-10,Entrepot_C,Transporteur_Z,420,0.86,True,2025-08-12,0,2025-08-12,1.05,441.0
15,2025-03-01,Entrepot_A,Transporteur_X,574,0.77,True,2025-03-04,0,2025-03-04,1.4,804.0
16,2025-12-30,Entrepot_C,Transporteur_Z,107,0.86,True,2025-12-31,0,2025-12-31,1.05,112.0
17,2025-09-02,Entrepot_B,Transporteur_Z,295,0.86,False,2025-09-04,1,2025-09-05,1.05,310.0
18,2025-08-04,Entrepot_B,Transporteur_X,538,0.77,True,2025-08-07,0,2025-08-07,1.4,753.0
19,2025-05-11,Entrepot_B,Transporteur_Y,285,0.92,True,2025-05-13,0,2025-05-13,1.2,342.0
20,2025-07-12,Entrepot_B,Transporteur_X,781,0.77,True,2025-07-16,0,2025-07-16,1.4,1093.0
21,2025-05-21,Entrepot_B,Transporteur_Y,229,0.92,True,2025-05-23,0,2025-05-23,1.2,275.0
22,2025-01-21,Entrepot_C,Transporteur_X,484,0.77,False,2025-01-24,2,2025-01-26,1.4,678.0
23,2025-03-01,Entrepot_A,Transporteur_X,94,0.77,False,2025-03-02,1,2025-03-03,1.4,132.0
24,2025-10-23,Entrepot_C,Transporteur_X,210,0.77,False,2025-10-25,1,2025-10-26,1.4,294.0
25,2025-03-21,Entrepot_A,Transporteur_X,363,0.77,True,2025-03-23,0,2025-03-23,1.4,508.0
26,2025-09-08,Entrepot_C,Transporteur_Y,188,0.92,True,2025-09-10,0,2025-09-10,1.2,226.0
27,2025-02-17,Entrepot_C,Transporteur_Z,517,0.86,True,2025-02-20,0,2025-02-20,1.05,543.0
28,2025-10-11,Entrepot_A,Transporteur_Y,133,0.92,True,2025-10-12,0,2025-10-12,1.2,160.0
29,2025-11-15,Entrepot_B,Transporteur_Y,574,0.92,True,2025-11-18,0,2025-11-18,1.2,689.0
30,2025-08-18,Entrepot_C,Transporteur_Z,275,0.86,True,2025-08-20,0,2025-08-20,1.05,289.0
31,2025-08-27,Entrepot_B,Transporteur_Y,154,0.92,True,2025-08-29,0,2025-08-29,1.2,185.0
32,2025-08-17,Entrepot_C,Transporteur_Y,378,0.92,True,2025-08-19,0,2025-08-19,1.2,454.0
33,2025-09-07,Entrepot_C,Transporteur_Y,639,0.92,True,2025-09-10,0,2025-09-10,1.2,767.0
34,2025-03-04,Entrepot_B,Transporteur_X,132,0.77,True,2025-03-05,0,2025-03-05,1.4,185.0
35,2025-01-18,Entrepot_A,Transporteur_Y,595,0.92,True,2025-01-21,0,2025-01-21,1.2,714.0
36,2025-03-15,Entrepot_C,Transporteur_X,457,0.77,True,2025-03-18,0,2025-03-18,1.4,640.0
37,2025-06-10,Entrepot_A,Transporteur_Y,347,0.92,True,2025-06-12,0,2025-06-12,1.2,416.0
38,2025-10-05,Entrepot_B,Transporteur_Y,734,0.92,True,2025-10-08,0,2025-10-08,1.2,881.0
39,2025-08-28,Entrepot_A,Transporteur_Y,124,0.92,True,2025-08-29,0,2025-08-29,1.2,149.0
40,2025-06-19,Entrepot_B,Transporteur_Z,297,0.86,True,2025-06-21,0,2025-06-21,1.05,312.0
41,2025-12-22,Entrepot_A,Transporteur_Z,590,0.86,True,2025-12-25,0,2025-12-25,1.05,620.0
42,2025-01-20,Entrepot_C,Transporteur_Y,677,0.92,True,2025-01-23,0,2025-01-23,1.2,812.0
43,2025-10-06,Entrepot_B,Transporteur_Y,741,0.92,True,2025-10-09,0,2025-10-09,1.2,889.0
44,2025-06-28,Entrepot_B,Transporteur_Z,730,0.86,False,2025-07-01,4,2025-07-05,1.05,766.0
45,2025-09-19,Entrepot_A,Transporteur_Z,609,0.86,True,2025-09-22,0,2025-09-22,1.05,639.0
46,2025-05-21,Entrepot_C,Transporteur_Y,382,0.92,True,2025-05-23,0,2025-05-23,1.2,458.0
47,2025-12-19,Entrepot_A,Transporteur_Y,658,0.92,False,2025-12-22,2,2025-12-24,1.2,790.0
48,2025-09-10,Entrepot_C,Transporteur_Z,458,0.86,False,2025-09-13,3,2025-09-16,1.05,481.0
49,2025-08-08,Entrepot_B,Transporteur_Y,578,0.92,True,2025-08-11,0,2025-08-11,1.2,694.0
50,2025-09-15,Entrepot_C,Transporteur_X,559,0.77,True,2025-09-18,0,2025-09-18,1.4,783.0
51,2025-11-28,Entrepot_C,Transporteur_Y,195,0.92,True,2025-11-30,0,2025-11-30,1.2,234.0
52,2025-04-25,Entrepot_A,Transporteur_X,758,0.77,True,2025-04-29,0,2025-04-29,1.4,1061.0
53,2025-01-12,Entrepot_C,Transporteur_Z,433,0.86,True,2025-01-14,0,2025-01-14,1.05,455.0
54,2025-08-10,Entrepot_C,Transporteur_X,363,0.77,True,2025-08-12,0,2025-08-12,1.4,508.0
55,2025-04-06,Entrepot_C,Transporteur_X,475,0.77,True,2025-04-09,0,2025-04-09,1.4,665.0
56,2025-10-25,Entrepot_A,Transporteur_Y,661,0.92,True,2025-10-28,0,2025-10-28,1.2,793.0
57,2025-05-04,Entrepot_B,Transporteur_Z,572,0.86,True,2025-05-07,0,2025-05-07,1.05,601.0
58,2025-09-26,Entrepot_A,Transporteur_Z,782,0.86,True,2025-09-30,0,2025-09-30,1.05,821.0
59,2025-03-19,Entrepot_A,Transporteur_X,267,0.77,True,2025-03-21,0,2025-03-21,1.4,374.0
60,2025-03-30,Entrepot_A,Transporteur_Y,620,0.92,True,2025-04-02,0,2025-04-02,1.2,744.0
61,2025-04-25,Entrepot_B,Transporteur_Z,238,0.86,True,2025-04-27,0,2025-04-27,1.05,250.0
62,2025-09-25,Entrepot_A,Transporteur_Y,271,0.92,True,2025-09-27,0,2025-09-27,1.2,325.0
63,2025-01-01,Entrepot_A,Transporteur_Z,675,0.86,False,2025-01-04,2,2025-01-06,1.05,709.0
64,2025-06-01,Entrepot_C,Transporteur_X,67,0.77,True,2025-06-02,0,2025-06-02,1.4,94.0
65,2025-01-12,Entrepot_A,Transporteur_Y,782,0.92,True,2025-01-16,0,2025-01-16,1.2,938.0
66,2025-08-16,Entrepot_A,Transporteur_Z,452,0.86,False,2025-08-19,1,2025-08-20,1.05,475.0
67,2025-04-25,Entrepot_B,Transporteur_Y,506,0.92,True,2025-04-28,0,2025-04-28,1.2,607.0
68,2025-11-12,Entrepot_B,Transporteur_X,69,0.77,True,2025-11-13,0,2025-11-13,1.4,97.0
69,2025-03-25,Entrepot_A,Transporteur_X,714,0.77,False,2025-03-28,1,2025-03-29,1.4,1000.0
70,2025-05-27,Entrepot_A,Transporteur_X,266,0.77,True,2025-05-29,0,2025-05-29,1.4,372.0
71,2025-03-02,Entrepot_A,Transporteur_X,717,0.77,False,2025-03-05,3,2025-03-08,1.4,1004.0
72,2025-04-15,Entrepot_C,Transporteur_Z,62,0.86,True,2025-04-16,0,2025-04-16,1.05,65.0
73,2025-10-11,Entrepot_B,Transporteur_Z,467,0.86,True,2025-10-14,0,2025-10-14,1.05,490.0
74,2025-05-03,Entrepot_A,Transporteur_Y,442,0.92,True,2025-05-05,0,2025-05-05,1.2,530.0
75,2025-04-20,Entrepot_A,Transporteur_X,577,0.77,True,2025-04-23,0,2025-04-23,1.4,808.0
76,2025-07-01,Entrepot_A,Transporteur_Y,541,0.92,True,2025-07-04,0,2025-07-04,1.2,649.0
77,2025-01-30,Entrepot_A,Transporteur_Y,516,0.92,True,2025-02-02,0,2025-02-02,1.2,619.0
78,2025-05-30,Entrepot_B,Transporteur_Z,420,0.86,False,2025-06-01,2,2025-06-03,1.05,441.0
79,2025-04-16,Entrepot_B,Transporteur_Z,611,0.86,True,2025-04-19,0,2025-04-19,1.05,642.0
80,2025-04-19,Entrepot_B,Transporteur_Y,300,0.92,True,2025-04-21,0,2025-04-21,1.2,360.0
81,2025-08-17,Entrepot_A,Transporteur_Z,154,0.86,True,2025-08-19,0,2025-08-19,1.05,162.0
82,2025-02-15,Entrepot_A,Transporteur_Y,172,0.92,True,2025-02-17,0,2025-02-17,1.2,206.0
83,2025-12-16,Entrepot_C,Transporteur_X,747,0.77,True,2025-12-19,0,2025-12-19,1.4,1046.0
84,2025-02-01,Entrepot_B,Transporteur_Z,481,0.86,True,2025-02-04,0,2025-02-04,1.05,505.0
